日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-10-20,优,26,69,9,17,15,3,0.25,北京
2025-10-21,优,29,118,11,24,23,3,0.29,北京
2025-10-22,优,48,231,27,48,32,3,0.45,北京
2025-10-23,良,62,264,45,62,29,3,0.59,北京
2025-10-24,良,89,295,66,93,36,3,0.72,北京
2025-10-25,轻度污染,116,318,88,116,35,3,0.75,北京
2025-10-26,优,26,27,13,21,19,3,0.31,北京
2025-10-27,优,39,84,13,32,31,3,0.35,北京
2025-10-28,轻度污染,139,320,106,149,39,3,0.75,北京
2025-10-29,中度污染,179,326,135,173,37,3,0.88,北京
2025-10-30,轻度污染,134,317,102,135,30,3,0.95,北京
2025-10-31,良,58,233,41,60,26,3,0.62,北京
2025-11-01,优,28,39,15,28,21,2,0.36,北京
2025-11-02,优,30,64,5,15,19,2,0.27,北京
2025-11-03,良,56,224,31,62,40,4,0.51,北京
2025-11-04,良,70,260,51,85,45,3,0.63,北京
2025-11-05,中度污染,160,330,122,173,51,4,0.98,北京
2025-11-06,中度污染,197,324,148,197,41,3,0.97,北京
2025-11-07,良,52,217,37,51,29,3,0.86,北京
2025-11-08,良,56,222,40,56,25,3,0.73,北京
2025-11-09,优,28,69,9,27,19,3,0.39,北京
2025-11-10,优,49,189,16,44,39,3,0.52,北京
2025-11-11,良,68,270,45,86,48,3,0.71,北京
2025-11-12,良,82,287,61,98,37,3,0.81,北京
2025-11-13,优,36,84,9,22,29,3,0.34,北京
2025-11-14,良,59,180,29,62,47,3,0.55,北京
2025-11-15,良,70,190,43,90,51,3,0.66,北京
2025-11-16,优,26,7,6,25,9,3,0.28,北京
2025-11-17,优,22,3,3,15,5,3,0.31,北京
2025-11-18,优,25,23,8,25,16,3,0.31,北京
2025-11-19,优,50,219,24,50,35,4,0.43,北京
2025-11-20,优,29,15,13,29,18,4,0.28,北京
2025-11-21,良,56,182,36,61,39,4,0.49,北京
2025-11-22,良,64,163,37,69,51,5,0.64,北京
2025-11-23,良,82,212,52,114,53,5,0.66,北京
2025-11-24,良,55,99,21,60,22,3,0.43,北京
2025-11-25,优,31,20,12,31,22,3,0.38,北京
2025-11-26,良,65,143,34,80,39,4,0.58,北京
2025-11-27,优,28,5,9,26,13,3,0.34,北京
2025-11-28,良,66,144,35,83,44,4,0.58,北京
2025-11-29,良,89,244,52,128,50,4,0.72,北京
2025-11-30,良,86,228,35,123,26,2,0.50,北京
2025-12-01,优,26,3,6,24,7,2,0.32,北京
2025-12-02,优,30,33,3,13,5,2,0.31,北京
2025-12-03,优,30,23,12,30,21,2,0.41,北京
2025-12-04,优,30,15,12,28,24,3,0.41,北京
2025-12-05,良,54,112,30,58,43,4,0.60,北京
2025-12-06,良,79,201,58,102,59,5,0.88,北京
2025-12-07,良,51,80,22,52,24,3,0.50,北京
2025-12-08,优,30,14,10,30,24,3,0.37,北京
2025-12-09,良,56,99,30,63,45,4,0.59,北京
2025-12-10,良,74,165,54,96,54,5,0.80,北京
2025-12-11,良,54,109,34,57,32,4,0.65,北京
2025-12-12,优,43,93,20,43,32,4,0.70,北京
2025-12-13,优,28,19,18,28,20,3,0.52,北京
2025-12-14,优,46,108,25,46,32,3,0.59,北京
2025-12-15,良,65,184,44,80,47,3,0.85,北京
2025-12-16,良,55,98,33,60,38,3,0.77,北京
2025-12-17,良,81,191,60,94,49,4,0.99,北京
2025-12-18,中度污染,174,311,132,175,56,3,1.21,北京
2025-12-19,轻度污染,138,285,105,133,32,3,0.88,北京
2025-12-20,优,28,9,2,7,9,3,0.30,北京
2025-12-21,优,38,88,11,31,30,3,0.47,北京
2025-12-22,良,64,237,42,77,50,4,0.83,北京
2025-12-23,优,50,140,31,50,32,3,0.61,北京
2025-12-24,优,29,30,7,17,23,3,0.38,北京
2025-12-25,优,26,25,8,20,14,3,0.33,北京
2025-12-26,良,52,167,29,52,42,4,0.62,北京
2025-12-27,良,60,169,42,69,47,4,0.78,北京
2025-12-28,良,90,245,67,105,62,4,1.05,北京
2025-12-29,优,31,19,15,28,25,3,0.44,北京
2025-12-30,优,26,10,8,18,16,3,0.38,北京
