日期,质量等级,AQI,PM2.5,PM10,SO2,NO2,CO,O3,城市
2025-09-24,优,46,266,27,46,15,3,0.58,石家庄
2025-09-25,良,72,313,25,57,26,7,0.61,石家庄
2025-09-26,良,79,316,25,56,27,6,0.59,石家庄
2025-09-27,良,80,324,25,40,12,2,0.47,石家庄
2025-09-28,优,50,243,30,50,22,3,0.55,石家庄
2025-09-29,良,62,292,32,67,30,6,0.70,石家庄
2025-09-30,良,75,302,35,73,26,5,0.74,石家庄
2025-10-01,良,64,280,28,79,29,8,0.59,石家庄
2025-10-02,良,68,310,14,31,9,3,0.28,石家庄
2025-10-03,良,59,298,26,56,17,3,0.39,石家庄
2025-10-04,良,58,297,34,63,23,5,0.70,石家庄
2025-10-05,优,43,211,28,43,15,2,0.70,石家庄
2025-10-06,优,34,195,14,22,7,2,0.41,石家庄
2025-10-07,优,31,111,19,31,12,3,0.50,石家庄
2025-10-08,优,32,117,16,24,13,2,0.41,石家庄
2025-10-09,优,26,67,7,11,8,2,0.30,石家庄
2025-10-10,优,26,65,10,12,9,2,0.32,石家庄
2025-10-11,优,26,49,15,26,18,2,0.54,石家庄
2025-10-12,优,44,200,31,44,25,2,0.80,石家庄
2025-10-13,优,33,130,19,33,20,3,0.49,石家庄
2025-10-14,优,44,204,21,42,23,4,0.49,石家庄
2025-10-15,良,66,298,48,73,30,3,0.52,石家庄
2025-10-16,轻度污染,102,329,77,108,36,2,0.64,石家庄
2025-10-17,优,43,219,30,39,14,2,0.39,石家庄
2025-10-18,优,28,90,13,28,11,2,0.32,石家庄
2025-10-19,优,50,288,26,51,21,2,0.40,石家庄
2025-10-20,优,34,189,17,34,20,2,0.33,石家庄
2025-10-21,优,50,279,26,50,31,3,0.41,石家庄
2025-10-22,良,58,287,40,66,37,4,0.49,石家庄
2025-10-23,良,85,315,63,80,34,3,0.60,石家庄
2025-10-24,轻度污染,108,317,81,108,38,3,0.71,石家庄
2025-10-25,轻度污染,145,325,111,148,49,4,1.03,石家庄
2025-10-26,良,81,297,60,88,33,3,0.68,石家庄
2025-10-27,良,61,239,41,72,40,5,0.51,石家庄
2025-10-28,轻度污染,124,313,94,133,46,4,0.77,石家庄
2025-10-29,中度污染,176,322,133,182,41,3,1.16,石家庄
2025-10-30,中度污染,200,329,150,197,34,2,0.97,石家庄
2025-10-31,轻度污染,150,317,115,157,33,2,0.84,石家庄
2025-11-01,良,56,196,32,62,34,3,0.60,石家庄
2025-11-02,优,44,151,20,44,27,2,0.35,石家庄
2025-11-03,良,64,255,38,79,48,5,0.65,石家庄
2025-11-04,轻度污染,101,311,76,126,52,4,0.84,石家庄
2025-11-05,中度污染,169,331,128,183,52,4,0.90,石家庄
2025-11-06,重度污染,224,329,174,232,51,3,0.86,石家庄
2025-11-07,良,61,265,44,53,22,2,0.66,石家庄
2025-11-08,良,68,255,49,70,26,2,0.72,石家庄
2025-11-09,良,64,259,27,78,27,3,0.40,石家庄
2025-11-10,良,73,282,41,96,49,6,0.89,石家庄
2025-11-11,良,91,310,68,128,54,5,0.89,石家庄
2025-11-12,轻度污染,109,324,82,141,56,5,0.88,石家庄
2025-11-13,良,60,243,31,71,36,4,0.52,石家庄
2025-11-14,良,64,205,36,78,45,7,0.73,石家庄
2025-11-15,良,71,193,46,92,39,11,0.78,石家庄
2025-11-16,良,64,212,26,78,18,4,0.35,石家庄
2025-11-17,优,33,94,10,33,8,3,0.28,石家庄
2025-11-18,优,38,189,12,38,16,4,0.35,石家庄
2025-11-19,优,49,206,19,49,31,8,0.55,石家庄
2025-11-20,良,54,212,28,58,33,8,0.60,石家庄
2025-11-21,良,54,162,25,58,39,8,0.63,石家庄
2025-11-22,良,57,124,31,64,37,12,0.69,石家庄
2025-11-23,良,80,209,38,110,34,11,0.60,石家庄
2025-11-24,良,100,244,33,149,15,3,0.28,石家庄
2025-11-25,优,50,108,18,51,19,4,0.35,石家庄
